"search-number","evaluation","evals-requested-so-far","initial-fruit-bushes*","initial-foragers*","bush-growth-chance*","ticks-to-flee*","max-age*","collaboration-bonus*","rate-of-mutation*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","95","160","23","96","48","55","318","3.8841443503471433","6.1000000000000005","""-1627687035""","9048","29778.91493591211","18818.82627322815","7659.331100736978","29778.91493591211"
"1","96","160","23","96","48","55","318","3.8841443503471433","6.1000000000000005","""897395062""","8675","31381.68617456321","16602.158315879882","6966.183309528999","31381.68617456321"
"1","97","160","23","96","48","55","318","3.8841443503471433","6.1000000000000005","""-2031769356""","9383","21162.576665903714","14358.555481644986","4139.4968851299855","21162.576665903714"
"1","98","160","23","96","48","55","318","3.8841443503471433","6.1000000000000005","""1366194848""","8681.406984817273","26285.535312428477","14212.198090799231","5762.487357441463","26285.535312428477"
"1","99","160","23","96","48","55","318","3.8841443503471433","6.1000000000000005","""294278489""","9199","28349.5558876936","19147.394187953127","6694.5732479162125","28349.5558876936"
"1","100","160","23","96","48","55","318","3.8841443503471433","6.1000000000000005","""-810567546""","8881","29030.63822054373","15900.92211229936","6226.752013811132","29030.63822054373"
"1","101","160","7","63","50","25","378","2.7667933165484095","7.5","""-1331737110""","5329","11267","6828.841584158416","1653.9321795809724","11267"
"1","102","160","7","63","50","25","378","2.7667933165484095","7.5","""577924674""","5871","15687.315226215","9187.59207415431","3208.88890846103","15687.315226215"
"1","103","160","7","63","50","25","378","2.7667933165484095","7.5","""1177164351""","5166","13417.66178103304","9129.594464289734","3011.539194465328","12365.472627908755"
"1","104","160","7","63","50","25","378","2.7667933165484095","7.5","""172850161""","5247","12615.424472419321","7933.035731628551","2682.431974453219","12615.424472419321"
"1","105","160","7","63","50","25","378","2.7667933165484095","7.5","""1800949458""","4797","13941.367729457543","7597.663637713049","2832.9013040424356","13941.367729457543"
"1","106","160","7","63","50","25","378","2.7667933165484095","7.5","""817357826""","4997","8360.8878049897","6030.48830051511","799.3659893005153","8360.8878049897"
"1","107","160","7","63","50","25","378","2.7667933165484095","7.5","""152070827""","5141","12565.333724727248","6873.8106309378945","2128.164044175762","12565.333724727248"
"1","108","160","7","63","50","25","378","2.7667933165484095","7.5","""-1452464350""","5696","9213.035413138017","6788.907567900759","858.3934156418604","9213.035413138017"
"1","109","160","7","63","50","25","378","2.7667933165484095","7.5","""-1532235923""","5282","10279.890695048447","7165.543871410259","1867.1580552713601","10246.2760280766"
"1","110","160","7","63","50","25","378","2.7667933165484095","7.5","""2019361968""","4694","10498.570862897688","7411.724440662424","2260.222907885534","10018.570862897688"
"1","111","160","26","62","76","4","246","1.3495429922941942","1.4000000000000001","""-479059033""","5891","17745.086426527807","10988.595014988463","4646.374557897092","17461.0237589456"
"1","112","160","26","62","76","4","246","1.3495429922941942","1.4000000000000001","""-1722619237""","5727.230987640192","18639.75161593042","10557.469179038819","4192.787589959883","18465.14659304189"
"1","113","160","26","62","76","4","246","1.3495429922941942","1.4000000000000001","""-769374972""","5410","17714.40955888711","9645.313767656466","3958.355159039864","17714.40955888711"
"1","114","160","26","62","76","4","246","1.3495429922941942","1.4000000000000001","""190625390""","5926","18640.581883599098","11645.564441587787","4456.125273090645","17177.79367494469"
"1","115","160","26","62","76","4","246","1.3495429922941942","1.4000000000000001","""1651871768""","5201","15768.317120368252","9303.54912401254","3693.0637706421867","15768.317120368252"
"1","116","160","26","62","76","4","246","1.3495429922941942","1.4000000000000001","""-1203357191""","5880","22864.008717924262","12882.151036201527","6114.261381187157","22864.008717924262"
"1","117","160","26","62","76","4","246","1.3495429922941942","1.4000000000000001","""-2140880900""","5357","14725.478477912566","7921.138963328238","2785.1026618942988","14725.478477912566"
"1","118","160","26","62","76","4","246","1.3495429922941942","1.4000000000000001","""30616371""","5914","17836.478833447778","10915.731144990674","4193.013513830289","17761.296385900663"
"1","119","160","26","62","76","4","246","1.3495429922941942","1.4000000000000001","""-1818406642""","5752.556216144045","18459.9617481117","11924.369882267583","4208.064311176228","18459.9617481117"
"1","120","160","26","62","76","4","246","1.3495429922941942","1.4000000000000001","""613648022""","5780","19099.886130744384","10401.678891552167","4512.868517162468","19099.886130744384"
"1","121","160","12","63","9","4","443","3.1941741054398416","2","""-1168908858""","5111","11159.20739604791","7921.81210040688","2229.2570063386565","8905.494809135065"
"1","122","160","12","63","9","4","443","3.1941741054398416","2","""2121362806""","3984","7779.464449276467","5800.9727359224835","974.6730479008013","6627.397409018081"
"1","123","160","12","63","9","4","443","3.1941741054398416","2","""132829815""","4991.746414638489","8648.219231453932","6657.827826158449","1226.5156455524739","5052.392028432647"
"1","124","160","12","63","9","4","443","3.1941741054398416","2","""1942789871""","5319.686791027696","9153.19425218077","6587.5985731051915","1224.7626960799741","8659.064802777144"
"1","125","160","12","63","9","4","443","3.1941741054398416","2","""-280448525""","5796","10921.089580631215","8078.718448872575","1991.8604303946852","10921.089580631215"
"1","126","160","12","63","9","4","443","3.1941741054398416","2","""816940942""","3763.752332341497","6300","4919.008117361521","636.0126435759455","3763.752332341497"
"1","127","160","12","63","9","4","443","3.1941741054398416","2","""-1369026442""","4512","10188.792569619285","5593.608723454402","1361.0008469159181","10188.792569619285"
"1","128","160","12","63","9","4","443","3.1941741054398416","2","""1259887873""","5348","9231.606830192515","6932.42065697392","1076.9793036986146","7048.298856590625"
"1","129","160","12","63","9","4","443","3.1941741054398416","2","""-436353142""","5323","13498.863021540648","8198.090287014395","2840.465013870961","9661.08718669413"
"1","130","160","12","63","9","4","443","3.1941741054398416","2","""-1668966932""","5303","14013.466507209887","9596.985222100602","3258.476734967889","13578.371769283589"
"1","131","160","9","64","71","7","454","1.0250446326390479","5.6000000000000005","""-909627424""","5908","15154.735344090941","8976.240838770305","3072.7172280293184","15154.735344090941"
"1","132","160","9","64","71","7","454","1.0250446326390479","5.6000000000000005","""-568572843""","5526","15238.61202372778","8655.646704270335","3254.1773184355693","15238.61202372778"
"1","133","160","9","64","71","7","454","1.0250446326390479","5.6000000000000005","""1418009515""","5310","13963.966235980773","7930.266541848623","2739.2174741067674","13963.966235980773"
"1","134","160","9","64","71","7","454","1.0250446326390479","5.6000000000000005","""-910524464""","5186.627901121537","11523.124954604407","7678.250625499034","2134.1148311250104","11523.124954604407"
"1","135","160","9","64","71","7","454","1.0250446326390479","5.6000000000000005","""1640091865""","5257","15604.35176661326","8131.8244955835735","3193.685384600538","15604.35176661326"
"1","136","160","9","64","71","7","454","1.0250446326390479","5.6000000000000005","""-875303580""","5844","12756.268948653389","8230.8551140272","2486.799700588351","12756.268948653389"
"1","137","160","9","64","71","7","454","1.0250446326390479","5.6000000000000005","""-1504405625""","5425","14732.585820553904","8282.325328767714","2999.574857871193","14732.585820553904"
"1","138","160","9","64","71","7","454","1.0250446326390479","5.6000000000000005","""866497618""","5362","18501.296019302663","10018.476439862457","4733.586621117583","18236.683368810558"
"1","139","160","9","64","71","7","454","1.0250446326390479","5.6000000000000005","""-241048823""","5045.074674982834","13491.258220035093","7679.955660489029","2797.0516241402784","13491.258220035093"
"1","140","160","9","64","71","7","454","1.0250446326390479","5.6000000000000005","""1236065282""","5598","14934.788662546729","8787.755696400614","3000.7204255481365","14934.788662546729"
"1","141","160","39","26","30","52","443","1.2728297856107427","9.5","""-1279754409""","2404","7486.823563744565","4056.0671068652755","1670.3242609088543","7287.495378652628"
"1","142","160","39","26","30","52","443","1.2728297856107427","9.5","""249208024""","2462","7300","4544.653465346535","1734.9229979203317","7299"
"1","143","160","39","26","30","52","443","1.2728297856107427","9.5","""719123696""","2319","10552.247990513975","5211.249570629757","2786.953313823702","10552.247990513975"
"1","144","160","39","26","30","52","443","1.2728297856107427","9.5","""-734520370""","2470","11031.684651331352","5780.011295158585","2908.3457463333525","11031.684651331352"
"1","145","160","39","26","30","52","443","1.2728297856107427","9.5","""853253290""","2420","9217","5296.574257425743","2367.3901636466035","9217"
"1","146","160","39","26","30","52","443","1.2728297856107427","9.5","""-1651882802""","2536","9022.51778019379","5454.686830867341","2350.9785068433594","8892.526237506674"
"1","147","160","39","26","30","52","443","1.2728297856107427","9.5","""131586445""","2316","7463","4496.544554455446","1865.2503720667232","7420"
"1","148","160","39","26","30","52","443","1.2728297856107427","9.5","""1199647288""","2449","10166.917520663259","5223.675308684222","2486.7253173199933","10166.917520663259"
"1","149","160","39","26","30","52","443","1.2728297856107427","9.5","""-301391071""","2533","7067","4194.0990099009905","1592.882151980808","7067"
"1","150","160","39","26","30","52","443","1.2728297856107427","9.5","""176677532""","2573","5740","3557.5445544554455","899.0066576477894","5496"
"1","151","160","17","17","20","89","262","0.9183489738307775","1.4000000000000001","""148682551""","1322","2142","1616.8316831683169","245.28815989798326","2134"
"1","152","160","17","17","20","89","262","0.9183489738307775","1.4000000000000001","""1003836400""","1410","5302.876173037308","2614.334646213534","1198.319771197035","5302.876173037308"
"1","153","160","17","17","20","89","262","0.9183489738307775","1.4000000000000001","""-1483293096""","1331","2447.876173037308","1625.8292311492537","292.8659382021588","2447.876173037308"
"1","154","160","17","17","20","89","262","0.9183489738307775","1.4000000000000001","""-968469736""","1585","4227","2692.6237623762377","939.9630402466379","4227"
"1","155","160","17","17","20","89","262","0.9183489738307775","1.4000000000000001","""765195125""","1595","3320","2352.5049504950493","659.223173496842","3147"
"1","156","160","17","17","20","89","262","0.9183489738307775","1.4000000000000001","""-754715664""","959","1730","1352.1980198019803","177.9997763932292","1730"
"1","157","160","17","17","20","89","262","0.9183489738307775","1.4000000000000001","""-778255125""","1584","4895","2788.5643564356437","1092.0396917314094","4895"
"1","158","160","17","17","20","89","262","0.9183489738307775","1.4000000000000001","""-1578995595""","1481","2584","1787.3168316831684","308.7575077854163","2584"
"1","159","160","17","17","20","89","262","0.9183489738307775","1.4000000000000001","""907796937""","1273","2838","1837.851485148515","500.3297789686041","2838"
"1","160","160","17","17","20","89","262","0.9183489738307775","1.4000000000000001","""393768563""","1437","3643.2760051880673","2115.388394531831","657.074902557122","3643.2760051880673"
"1","161","170","3","12","19","53","226","3.015999084458686","8.9","""1406355665""","551","1200","739.3663366336634","206.3953838036247","551"
"1","162","170","3","12","19","53","226","3.015999084458686","8.9","""-1983849132""","762","1200","861.6831683168317","123.07371211538793","810"
"1","163","170","3","12","19","53","226","3.015999084458686","8.9","""-360159683""","545","1200","761.8217821782179","197.3847712484225","805"
"1","164","170","3","12","19","53","226","3.015999084458686","8.9","""174429854""","45","1200","601.1386138613861","349.72852413559207","45"
"1","165","170","3","12","19","53","226","3.015999084458686","8.9","""548369367""","904","1200","1005.009900990099","96.25897309336983","1189"
"1","166","170","3","12","19","53","226","3.015999084458686","8.9","""-895651871""","932","2688","1473.851485148515","542.7442378531275","2688"
"1","167","170","3","12","19","53","226","3.015999084458686","8.9","""-1926272586""","0","1200","600","351.60204777560665","0"
"1","168","170","3","12","19","53","226","3.015999084458686","8.9","""874103851""","915","1200","1009.6930693069307","67.10957347119073","1123"
